,Datetime,Tweet Id,Text,Media
81,2022-02-01 15:12:05+00:00,1488530600743084045,"Read the latest on Covid-19:

💉Pfizer expected to seek emergency use authorization for its vaccine for children under 5

✈️Thailand reopens quarantine-free travel

⛷24 new Covid-19 infections detected ahead of the Winter Olympics' start on Friday https://t.co/91gMkv6yJp",CNN
82,2022-02-01 15:06:28+00:00,1488529188831256589,"SeatGeek said that the average price customers are paying for tickets as of Monday was $10,427. StubHub has an average of $9,800. The cheapest seats in Super Bowl LVI are being sold for about $7,000 https://t.co/mLh6VYU2kN",CNN
83,2022-02-01 14:57:20+00:00,1488526890663096334,Seven-time Super Bowl champion Tom Brady has officially announced his retirement from the NFL https://t.co/JGNQAONgIf,CNN
84,2022-02-01 14:53:41+00:00,1488525970520879117,A hotline for people to report hate incidents is being set up in Ottawa following reports of racism and anti-Semitism during protests against Covid-19 mandates https://t.co/J6FHyqdAL3,CNN
85,2022-02-01 14:44:26+00:00,1488523641197375494,"A growing number of historically black colleges and universities have had to lock down or postpone classes due to bomb threats on the first day of Black History Month
https://t.co/6593bVb0Ce",CNN
86,2022-02-01 14:31:08+00:00,1488520294411251726,This automated catamaran simultaneously harvests and replants seaweed in the ocean. https://t.co/7lEEkX0X48,CNN
87,2022-02-01 14:08:05+00:00,1488514495051931652,"Listen to the CNN 5 Things podcast for the latest on these top stories: 

✔️ Trump advisers' plan to seize voting machines 
✔️ Denmark lifts Covid-19 restrictions 
✔️ Amnesty International's allegations toward Israel 

https://t.co/hW5qLIfXjn",CNN
88,2022-02-01 13:57:10+00:00,1488511748197998600,"""Many Republicans remain skeptical that a vice president who had always shown ostentatious loyalty to Trump, but who broke with him at the last minute, has any future in a party that remains the ex-President's personality cult,"" writes Stephen Collinson https://t.co/Phevb0rsBt",CNN
89,2022-02-01 13:46:05+00:00,1488508956733489157,"The FBI and San Bernardino County Sheriff's Department are accused of illegally pulling over vehicles transporting funds from marijuana dispensaries and seizing money, a new lawsuit claims https://t.co/kpo1M4oKVN",CNN
90,2022-02-01 13:34:51+00:00,1488506130489819139,"Dolce &amp; Gabbana has joined a growing list of fashion houses to ban animal fur, announcing Monday that it will use a sustainable ""eco-fur"" in future collections https://t.co/wVE3hmGKhI",CNN
91,2022-02-01 13:23:37+00:00,1488503306393587714,"While the industry as a whole is still male-dominated, organizations have launched projects in the hope of creating a more diverse gaming environment https://t.co/qQBd34rzAK",CNN
92,2022-02-01 13:07:07+00:00,1488499152313008128,"A senior White House official will meet with European allies this week to discuss ways to support Ukraine's digital defenses in the event of Russian cyberattacks, a senior Biden administration official told CNN https://t.co/lKkc1oq0Vt",CNN
93,2022-02-01 12:49:47+00:00,1488494788726951938,"The sole survivor of a boat that capsized off the coast of Florida last week lost his sister at sea and spent harrowing days fighting to survive, he told reporters at a news conference on Monday https://t.co/hzlNyxPxlg",CNN
94,2022-02-01 12:33:32+00:00,1488490702661210114,"A large fire burning at a fertilizer plant in Winston-Salem, North Carolina, is threatening an explosion of ammonium nitrate as officials urge the evacuation of 6,000 people within a mile of the site, including some students at Wake Forest University https://t.co/tFIWHMmNcN",CNN
95,2022-02-01 12:23:02+00:00,1488488057519104000,"Pfizer is expected to seek authorization from the US Food and Drug Administration as soon as today for its Covid-19 vaccine for children age 6 months up to 5 years, a person familiar with the plan says https://t.co/MF66WNJ8Pe",CNN
96,2022-02-01 12:12:18+00:00,1488485355963695107,"After realizing there weren't any Koreans in the pantheon of iconic Disney princesses, 22-year-old Julia Riew set out to create one herself, along with an accompanying musical https://t.co/VZtlL4InCH",CNN
97,2022-02-01 11:58:30+00:00,1488481885152071687,"Frustrations ranged from the Covid-19 pandemic to immigration policy and at points devolved into open hostility, with one agent turning his back on the secretary and another questioning Mayorkas for wearing a jacket with the Border Patrol badge https://t.co/WaqMoHmfrc",CNN
98,2022-02-01 11:42:44+00:00,1488477915008409601,"A penguin couple received an extra special New Year's gift at a zoo in New York, where they became the organization's first same-sex foster parents to successfully hatch an egg https://t.co/Yu7Nxs9l3H",CNN
99,2022-02-01 11:26:57+00:00,1488473945686822918,"Amnesty International has become the latest human rights organization to accuse Israel of apartheid for its treatment of Palestinians, prompting an angry response from Israel, which has denounced the report as anti-Semitic https://t.co/RuXi8LwNHH",CNN
100,2022-02-01 11:11:11+00:00,1488469975555874821,"Alec Baldwin has settled a lawsuit about a dispute with a man over a parking spot in New York City, according to attorneys involved in the case https://t.co/Tg6iD8GUfa",CNN
101,2022-02-01 10:55:24+00:00,1488466003692560384,The incoming executive director for Georgetown University's Center for the Constitution has been placed on administrative leave after social media comments made last week questioning President Joe Biden's intentions for the US Supreme Court vacancy https://t.co/ZCrxCGAs9p,CNN
102,2022-02-01 10:40:08+00:00,1488462160556703748,Federal prisons were placed on a temporary lockdown nationwide Monday after violence broke out at an institution in Texas and two inmates died https://t.co/F7OLlXN3EA,CNN
103,2022-02-01 10:30:21+00:00,1488459699909500930,"A Christian school in Brisbane, Australia has sparked outrage for requiring parents to sign an enrollment contract that refers to homosexuality as a sin and includes it in a list of ""immoral"" behavior alongside bestiality, incest, and pedophilia https://t.co/WOUwmTCWKJ",CNN
104,2022-02-01 10:20:42+00:00,1488457272380596225,"The State Department on Monday ordered family members of employees at the US Embassy in Belarus to depart the country and warned US citizens against travel there due to an ""unusual and concerning Russian military buildup"" along Belarus' border with Ukraine https://t.co/6Dbfbps8U8",CNN
105,2022-02-01 10:05:32+00:00,1488453454930624514,"Jimin, a member of South Korean supergroup BTS, tested positive for Covid-19 and underwent surgery for acute appendicitis, his management agency said Monday https://t.co/4cRsSZqnM9",CNN
106,2022-02-01 09:48:07+00:00,1488449071530524676,Louisiana Gov. John Bel Edwards will meet with the Legislative Black Caucus on Tuesday to discuss recent new allegations in the Ronald Greene case https://t.co/pM4VyC64A8,CNN
107,2022-02-01 09:01:08+00:00,1488437247045251073,An Ottawa soup kitchen has received an outpouring of support after a group of truckers protesting in the city allegedly harassed staff and assaulted a homeless man on Saturday. https://t.co/YMTLFlM7o9,CNN
108,2022-02-01 08:31:07+00:00,1488429692529086466,"Grocery costs keep climbing -- prices of meat, seafood, produce, cereal and other kitchen staples shot up 9% in 2021.  Here's why. https://t.co/POQ3GLcP9E",CNN
109,2022-02-01 08:02:02+00:00,1488422374965919746,How a group of Irish fishermen -- fighting back against naval drills ordered by Moscow off the Irish coast -- forced the Russian Navy into a U-turn. https://t.co/T24KYXG5L8,CNN
110,2022-02-01 07:32:06+00:00,1488414842222436354,"Elon Musk offered a Florida teen $5,000 to delete a Twitter account that tracks the billionaire's private jet -- but it wasn't enough https://t.co/f3k7TGUIsI",CNN
111,2022-02-01 07:05:04+00:00,1488408038704828417,"The first participants have been vaccinated in a Phase 1 clinical trial of an experimental HIV vaccine that utilizes Moderna's mRNA technology, the company announced. https://t.co/yRMbJUgBtm",CNN
112,2022-02-01 06:19:04+00:00,1488396464351072257,"The hit song ""We Don't Talk About Bruno"" from the animated Disney movie ""Encanto"" is now the No. 1 song on the Billboard Hot 100 chart. https://t.co/895hGbUKZD",CNN
113,2022-02-01 06:08:56+00:00,1488393912112852994,"CNN's Anderson Cooper talks with ""Jeopardy!"" contestant Amy Schneider about her historic run on the long-running game show. https://t.co/g4DDB60phr https://t.co/5EyBVZv4TX",CNN
114,2022-02-01 05:53:17+00:00,1488389974831640582,"The United States ""will know sooner rather than later"" whether it is possible to salvage the Iran nuclear deal, a senior State Department official said Monday, adding that some of the ""most critical decisions"" have yet to be made. https://t.co/dvbcDzO7Km",CNN
115,2022-02-01 05:40:18+00:00,1488386705744932864,Virginia Tech and George Mason University have announced that they're dropping their Covid-19 vaccination requirement for students to attend in person or to enroll in light of last week's legal opinion issued by state Attorney General Jason Miyares. https://t.co/0ZN2EqEpkY,CNN
116,2022-02-01 05:24:36+00:00,1488382757512351747,"NBC ""TODAY"" host Hoda Kotb shares why she and fiancé Joel Schiffman have broken up. https://t.co/txECJsRZEb https://t.co/OB1jz7ss8Y",CNN
117,2022-02-01 05:08:53+00:00,1488378800748789761,With Trump teasing another White House run — and the GOP eager to take advantage of his ability to juice the base ahead of the midterms — Republicans have increasingly turned a blind eye to Trump's most problematic rhetoric about the insurrection https://t.co/xbxIj4hbMS,CNN
118,2022-02-01 04:52:16+00:00,1488374618964570112,https://t.co/VrHvSicXzB,CNN
119,2022-02-01 04:34:29+00:00,1488370143910670342,"Florida Gov. Ron DeSantis on Monday lashed out at those who called on him to condemn Nazi demonstrations that had taken place over the weekend near Orlando, accusing his political opponents of trying to ""smear me as if I had something to do with it."" https://t.co/zpxouCcWS2",CNN
120,2022-02-01 04:16:36+00:00,1488365642268954625,Experts say the junta's attempts to gain full control are being frustrated by the Myanmar people as they carry out one of the biggest &amp; most unified resistance movements the country has seen in its long history of democratic struggle against military rule. https://t.co/0Gfb6qLNmv,CNN
121,2022-02-01 03:58:36+00:00,1488361114685612033,"A captain in the Stockton, California, fire department has died after a man shot him at the scene of a fire, officials announced at a news conference Monday. https://t.co/wmpUHYQKw4",CNN
122,2022-02-01 03:40:37+00:00,1488356588729548801,"Former President Donald Trump's political organization has amassed $122 million in cash reserves, his team announced.

The war chest he has stockpiled is unprecedented for a former President and underscores his financial dominance in Republican politics. https://t.co/7YDfhizm6e",CNN
123,2022-02-01 03:22:58+00:00,1488352146105982978,"Goldberg's comments came during a segment of the ABC talk show on Monday that focused in part on a Tennessee school district's decision to ban ""Maus,"" a graphic novel that depicts the horrors of the Holocaust. https://t.co/xOu3TzWQNA",CNN
124,2022-02-01 03:10:18+00:00,1488348959730974722,An Ottawa soup kitchen has received an outpouring of support after a group of truckers protesting in the city allegedly harassed staff and assaulted a homeless man on Saturday. https://t.co/640Ar7MyTI,CNN
